Ref,Val,Package,PosX,PosY,Rot,Side
"C101","1u","C_Rect_L16.5mm_W6.0mm_P15.00mm_MKT",95.0000,60.0000,-90.0000,top
"C102","3.3u","CP_Radial_D5.0mm_P2.00mm",67.5000,45.0000,180.0000,top
"C103","3.3u","CP_Radial_D5.0mm_P2.00mm",83.8500,70.0000,90.0000,top
"C201","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",85.0000,95.0000,-90.0000,top
"C202","1u","C_Disc_D5.0mm_W2.5mm_P5.00mm",66.3500,91.1900,-90.0000,top
"C301","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",53.7000,60.0000,0.0000,top
"C401","10u","CP_Radial_D5.0mm_P2.00mm",15.0000,57.5000,90.0000,top
"C402","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",20.0000,53.8100,0.0000,top
"C501","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",16.2500,73.7500,0.0000,top
"C502","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",40.0000,60.0000,0.0000,top
"C701","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",38.0000,16.2600,180.0000,top
"C702","47u","CP_Radial_D8.0mm_P3.50mm",34.0000,24.0000,0.0000,top
"C703","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",47.5000,5.0000,180.0000,top
"C704","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",22.5000,10.0000,0.0000,top
"C705","10u","CP_Radial_D5.0mm_P2.00mm",27.5000,5.0000,180.0000,top
"D101","1N4148","D_DO-35_SOD27_P5.08mm_Vertical_AnodeUp",87.5000,65.0000,-90.0000,top
"D401","1N5819","D_DO-41_SOD81_P7.62mm_Horizontal",15.0000,53.8100,-90.0000,top
"D501","LED_STATUS","LED_D5.0mm-3",10.0400,85.0000,180.0000,top
"D701","P4KE16AC","D_DO-41_SOD81_P7.62mm_Horizontal",13.9500,17.5000,-90.0000,top
"D702","1N5822","D_DO-201AD_P15.24mm_Horizontal",27.5000,16.2600,90.0000,top
"D703","1N4004","D_DO-41_SOD81_P7.62mm_Horizontal",38.8100,10.0000,180.0000,top
"D704","1N5819","D_DO-41_SOD81_P12.70mm_Horizontal",63.8500,5.0000,180.0000,top
"F701","1A M205","Fuseholder_Clip-5x20mm_Eaton_1A5601-01_Inline_P20.80x6.76mm_D1.70mm_Horizontal",20.0000,14.0000,90.0000,top
"FID901","FIDUCIAL","Fiducial_1mm_Mask2mm",12.5000,95.0000,0.0000,top
