Row,Quantity Per PCB,References,Value,Datasheet,Footprint,Description,Tolerance,Voltage,Manufacturer,MPN,Supplier,SPN,Notes
1,8,C201 C301 C402 C501 C502 C701 C703 C704,100n,~,C_Disc_D5.0mm_W2.5mm_P5.00mm,CAP CER Y5U 100N 50V 20% P=5MM,20%,50V,,,Jaycar Electronics,RC5360,
2,2,C101 C202,1u,~,C_Rect_L16.5mm_W6.0mm_P15.00mm_MKT,CAP GRN 1U 100V P=11MM CAP MONO 1U 50V,,100V 50V,,,Jaycar Electronics,RG5170,
3,2,C102 C103,3.3u,~,CP_Radial_D5.0mm_P2.00mm,CAP LL CD81 RB 3U3 50V P=2MM 5X11MM,10%,50V,,,Jaycar Electronics,RL6422,
4,2,C401 C705,10u,~,CP_Radial_D5.0mm_P2.00mm,Polarized capacitor,,25V,,,,,
5,1,C702,47u,~,CP_Radial_D8.0mm_P3.50mm,Polarized capacitor,,25V,,,,,
6,1,D703,1N4004,http://www.vishay.com/docs/88503/1n4001.pdf,D_DO-41_SOD81_P7.62mm_Horizontal,"400V 1A General Purpose Rectifier Diode, DO-41",,,,,,,
7,1,D101,1N4148,https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf,D_DO-35_SOD27_P5.08mm_Vertical_AnodeUp,DIODE 1N4148 FAST 100V 250MA DO41,,,,,Jaycar Electronics,,
8,2,D401 D704,1N5819,http://www.vishay.com/docs/88525/1n5817.pdf,D_DO-41_SOD81_P7.62mm_Horizontal,DIODE 1N5819 SCHOTTKY 40V 1A DO41,,,,,Jaycar Electronics,ZR1020,
9,1,D702,1N5822,http://www.vishay.com/docs/88526/1n5820.pdf,D_DO-201AD_P15.24mm_Horizontal,DIODE 1N5822 SCHOTTKY 40V 3A DO41,,,,,Jaycar Electronics,ZR1023,
10,1,D501,LED_STATUS,~,LED_D5.0mm-3,LED 5MM DIF BICOL COM CATH ORG/GRN 70/80,,,,,Jaycar Electronics,ZD0252,
11,1,D701,P4KE16AC,https://www.jaycar.com.au/p4ke-13-6v-16a-standoff-400w-ac/p/ZR1162,D_DO-41_SOD81_P7.62mm_Horizontal,Bidirectional transient-voltage-suppression diode,,,,,,,
12,1,F701,1A M205,~,Fuseholder_Clip-5x20mm_Eaton_1A5601-01_Inline_P20.80x6.76mm_D1.70mm_Horizontal,Fuse,,,,,,,
13,3,J401 J701 J702,EBWA-02-B,~,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",TERMINAL PCB SCREW 2WAY BLU P=5MM SKT PCB DC SPST SWITCHED 2.1MM,,,,,Jaycar Electronics,HM3412,
14,1,MK101,MIC,~,POM-2244P-C3310-2-R,MIC PCB 2PIN 1.5V D10XH6.5MM,,,,,Jaycar Electronics,AM4011,
15,1,Q101,BC549,https://www.onsemi.com/pub/Collateral/BC550-D.pdf,TO-92_Inline,TRAN BC540 NPN 30V 100MA TO92,,,,,,,
16,1,Q401,Si4944DY,https://www.digikey.com.au/en/htmldatasheets/production/831318/0/0/2/si4944dy,SO-8_3.9x4.9mm_P1.27mm,SMD MOSFET SI4944DY DUAL N-CH 30V SOIC8,,,,,Jaycar Electronics,ZK8821,
17,1,R105,62,~,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,RES 0.5W CARB 62R,1%,,,,,,
18,1,R401,100,~,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,RES 0.5W CARB 100R,1%,,,,,,
19,2,R501 R502,120,~,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,RES 0.5W CARB 120R,1%,,,,,,
